# ABR CC PLAY REBUFFER
puffer_ttp_static bbr 10.595 0.0
puffer_ttp_static bbr 21.417 0.0
puffer_ttp_static bbr 18.2 0.0
puffer_ttp_static bbr 16.299 0.0
linear_bba cubic 6.4 0.0
robust_mpc cubic 47.194 0.0
linear_bba cubic 26.621 0.0
puffer_ttp_static cubic 4921.623 0.0
mpc cubic 169.551 0.0
pensieve cubic 5.8 0.0
pensieve cubic 66.453 0.0
puffer_ttp_static bbr 11.298 0.0
puffer_ttp_static bbr 103.7 0.0
robust_mpc cubic 15.515 0.0
pensieve bbr 7.82 0.0
robust_mpc cubic 63.758 0.0
puffer_ttp_static cubic 13.293 0.0
pensieve bbr 874.119 0.0
puffer_ttp_static bbr 8.952 0.0
puffer_ttp_static cubic 196.954 119.11999999999999
puffer_ttp_static bbr 11.738 0.0
puffer_ttp_static bbr 5.878 0.0
puffer_ttp_static bbr 206.62 0.0
robust_mpc cubic 14.298 0.0
robust_mpc cubic 29.152 0.0
puffer_ttp_static cubic 269.954 0.0
pensieve bbr 10.149 0.0
pensieve bbr 211.501 0.0
robust_mpc cubic 202.404 0.0
pensieve bbr 301.661 0.0
pensieve cubic 22.147 0.0
mpc bbr 28.501 0.0
mpc bbr 16.298 0.302
robust_mpc bbr 5.101 0.0
pensieve cubic 3773.084 4.888
robust_mpc bbr 1369.991 5.829
linear_bba cubic 17.126 0.25
puffer_ttp_static cubic 9.256 0.0
linear_bba cubic 12.991 0.0
puffer_ttp_static cubic 9.696 0.0
puffer_ttp_static cubic 3662.832 265.65
mpc bbr 47.917 0.0
puffer_ttp_static bbr 21.149 0.0
puffer_ttp_static bbr 50.944 0.0
mpc bbr 7.134 0.0
puffer_ttp_static cubic 5.892 0.0
puffer_ttp_static cubic 11.003 0.0
puffer_ttp_static cubic 12.92 0.0
puffer_ttp_static bbr 70.695 0.0
puffer_ttp_static cubic 9.649 0.0
puffer_ttp_static cubic 149.065 0.0
puffer_ttp_static bbr 7.896 0.0
puffer_ttp_static bbr 48.709 0.0
puffer_ttp_static bbr 14.149 0.0
puffer_ttp_static bbr 8.744 0.0
puffer_ttp_static bbr 125.303 0.0
puffer_ttp_static cubic 8.083 0.0
puffer_ttp_static bbr 23.197 0.0
puffer_ttp_static bbr 5.1 0.0
puffer_ttp_static bbr 68.647 0.0
puffer_ttp_static bbr 15.4 0.0
puffer_ttp_static cubic 15.614 0.0
puffer_ttp_static cubic 7.798 0.0
puffer_ttp_static cubic 158.137 16.392
puffer_ttp_static cubic 12.248 0.0
puffer_ttp_static bbr 175.514 0.0
mpc bbr 10.527 0.0
robust_mpc bbr 7.212 0.0
robust_mpc bbr 923.223 0.0
mpc cubic 184.719 0.0
puffer_ttp_static cubic 8.898 0.0
puffer_ttp_static cubic 13.202 0.0
puffer_ttp_static cubic 203.607 0.0
linear_bba bbr 5.001 0.0
robust_mpc cubic 7.501 0.0
robust_mpc cubic 35.398 0.0
linear_bba bbr 291.709 0.0
pensieve bbr 85.386 0.0
puffer_ttp_static cubic 10.645 0.0
mpc bbr 119.858 0.0
linear_bba bbr 77.849 0.0
linear_bba bbr 123.5 0.0
mpc bbr 7.196 0.0
mpc bbr 16.896 0.0
linear_bba cubic 9.551 0.0
robust_mpc cubic 34.342 0.0
robust_mpc cubic 14.243 0.0
robust_mpc cubic 5.254 0.0
robust_mpc cubic 46.455 0.0
robust_mpc cubic 5.665 0.0
mpc cubic 146.228 0.0
mpc cubic 125.582 0.0
mpc bbr 16.349 0.0
mpc bbr 3243.227 5.744999999999999
mpc bbr 25.612 0.0
puffer_ttp_static cubic 10878.032 0.0
linear_bba bbr 39.604 0.0
linear_bba bbr 7.065 0.0
linear_bba bbr 10.199 0.0
linear_bba bbr 10.555 0.0
linear_bba bbr 534.304 0.0
linear_bba bbr 9.303 0.0
linear_bba bbr 5.558 0.0
linear_bba bbr 12.131 0.0
mpc bbr 25.248 0.0
mpc bbr 7.109 0.0
mpc bbr 45.48 0.0
puffer_ttp_static cubic 23.905 0.0
puffer_ttp_static cubic 7.196 0.0
puffer_ttp_static cubic 32.541 0.0
puffer_ttp_static bbr 16.845 0.0
puffer_ttp_static bbr 6.701 0.0
puffer_ttp_static bbr 46.751 0.0
linear_bba cubic 30.554 0.0
linear_bba cubic 38.002 0.0
puffer_ttp_static cubic 1499.827 60.956
linear_bba cubic 53.314 0.0
puffer_ttp_static bbr 17.297 0.0
puffer_ttp_static bbr 24.836 0.0
pensieve cubic 165.432 0.0
puffer_ttp_static bbr 46.728 0.09999999999999987
puffer_ttp_static bbr 246.524 0.10099999999999998
pensieve cubic 6.08 0.0
pensieve cubic 5.452 0.0
linear_bba bbr 5.999 0.0
pensieve cubic 7.728 0.0
linear_bba bbr 5.502 0.0
linear_bba bbr 1476.267 0.0
puffer_ttp_static bbr 26.319 0.0
puffer_ttp_static bbr 6.032 0.0
puffer_ttp_static bbr 20.945 0.0
robust_mpc cubic 16.455 0.0
robust_mpc cubic 14.149 0.0
robust_mpc cubic 35.036 0.0
linear_bba cubic 10.798 0.0
linear_bba cubic 9.912 0.0
linear_bba cubic 44.268 0.0
puffer_ttp_static cubic 26.0 0.0
puffer_ttp_static cubic 61.419 0.0
mpc cubic 400.02 3.551
linear_bba cubic 14.488 0.0
pensieve cubic 7.505 0.0
puffer_ttp_static cubic 66.94 0.0
pensieve cubic 11.397 0.0
puffer_ttp_static cubic 142.3 0.552
puffer_ttp_static cubic 28.194 0.0
mpc bbr 134.385 0.0
puffer_ttp_static cubic 20.91 0.0
mpc bbr 25.602 0.0
puffer_ttp_static cubic 11.295 0.0
puffer_ttp_static cubic 27.405 0.0
mpc bbr 6.481 0.0
mpc cubic 6.483 0.0
mpc bbr 63.351 0.0
mpc cubic 7.286 0.0
mpc cubic 9.755 0.0
mpc cubic 20.221 0.0
robust_mpc cubic 32.408 0.0
mpc bbr 36.742 0.0
mpc bbr 120.659 0.0
robust_mpc cubic 5.252 0.0
robust_mpc cubic 52.804 0.0
mpc cubic 42.015 0.0
linear_bba bbr 29.632 0.0
mpc bbr 6.127 0.0
mpc bbr 11.951 0.0
robust_mpc cubic 27.99 0.0
mpc cubic 8.117 0.0
mpc cubic 62.148 0.0
puffer_ttp_static cubic 102.894 1.2040000000000002
mpc cubic 4775.602 0.0
puffer_ttp_static cubic 8.92 0.0
puffer_ttp_static cubic 31.698 0.0
puffer_ttp_static cubic 94.119 6.813
robust_mpc bbr 63.337 0.0
linear_bba cubic 47.35 0.0
robust_mpc bbr 7.039 0.0
robust_mpc bbr 18.385 0.0
linear_bba cubic 18.501 0.0
robust_mpc bbr 8.939 0.0
linear_bba cubic 7.355 0.0
robust_mpc bbr 42.28 0.0
linear_bba cubic 10.85 0.0
linear_bba bbr 689.253 0.0
linear_bba cubic 45.095 0.0
robust_mpc bbr 480.479 0.0
linear_bba cubic 5.149 0.0
linear_bba cubic 11.353 0.0
linear_bba cubic 14.061 0.0
linear_bba cubic 415.252 0.0
puffer_ttp_static cubic 53.717 0.0
pensieve bbr 5.105 0.0
pensieve cubic 7.248 0.0
linear_bba cubic 9.238 0.0
linear_bba cubic 23.198 0.0
robust_mpc bbr 61.958 0.0
linear_bba cubic 16.955 0.0
robust_mpc bbr 18.92 0.0
robust_mpc bbr 33.584 0.0
puffer_ttp_static cubic 495.44 0.0
linear_bba bbr 726.656 0.0
robust_mpc bbr 120.97 0.0
robust_mpc bbr 110.004 0.0
mpc bbr 2491.268 0.8540000000000001
puffer_ttp_static cubic 32.108 0.0
puffer_ttp_static cubic 6.4 0.0
puffer_ttp_static cubic 130.944 0.0
puffer_ttp_static cubic 452.853 0.0
linear_bba cubic 258.956 0.0
puffer_ttp_static bbr 409.25 0.0
robust_mpc bbr 77.001 0.0
robust_mpc bbr 62.437 0.0
linear_bba bbr 1114.659 0.0
mpc cubic 38.2 0.0
robust_mpc bbr 16.332 0.0
mpc cubic 38.949 0.0
linear_bba cubic 8.501 0.0
linear_bba cubic 39.551 0.0
mpc cubic 2652.943 0.0
linear_bba cubic 3312.835 0.0
pensieve cubic 20.419 0.0
pensieve bbr 9.812 0.0
pensieve bbr 8.142 0.0
puffer_ttp_static bbr 15.85 0.09999999999999998
puffer_ttp_static bbr 26.6 1.701
puffer_ttp_static bbr 12.7 0.0
puffer_ttp_static bbr 1316.777 0.0
puffer_ttp_static bbr 29.998 0.0
puffer_ttp_static bbr 164.198 0.0
puffer_ttp_static bbr 37.512 0.0
puffer_ttp_static bbr 22.555 0.0
puffer_ttp_static bbr 69.137 0.0
puffer_ttp_static bbr 157.159 0.0
pensieve bbr 77.647 0.0
puffer_ttp_static bbr 13.301 0.0
robust_mpc cubic 7.228 0.0
pensieve bbr 37.464 0.0
puffer_ttp_static bbr 17.337 0.0
pensieve bbr 13.098 0.0
pensieve bbr 12.494 0.0
puffer_ttp_static bbr 45.734 0.0
puffer_ttp_static bbr 9.945 0.0
pensieve bbr 21.103 0.0
puffer_ttp_static bbr 62.793 0.0
pensieve bbr 48.248 0.0
robust_mpc bbr 768.299 0.0
puffer_ttp_static bbr 125.694 0.0
pensieve bbr 17.903 0.0
pensieve bbr 18.948 0.0
robust_mpc cubic 13.746 0.0
pensieve bbr 5.847 0.0
mpc cubic 19.049 0.0
pensieve bbr 31.7 0.0
mpc cubic 12.458 0.0
mpc cubic 12.409 0.0
mpc cubic 5.89 0.0
pensieve bbr 363.961 0.0
mpc cubic 10.016 0.0
mpc cubic 8.398 0.0
mpc cubic 10.449 0.0
mpc cubic 16.401 0.0
mpc cubic 213.852 0.0
pensieve bbr 4175.162 4.16
mpc cubic 696.258 0.0
linear_bba bbr 417.849 0.0
linear_bba bbr 10.1 0.0
linear_bba bbr 132.382 0.0
linear_bba bbr 12.394 0.0
linear_bba bbr 19.262 0.0
pensieve bbr 20.702 0.0
robust_mpc bbr 5.847 0.0
robust_mpc bbr 26.146 0.0
robust_mpc cubic 24.646 0.0
robust_mpc cubic 32.961 0.0
robust_mpc bbr 42.19 0.0
robust_mpc cubic 9.399 0.0
linear_bba bbr 226.804 0.0
robust_mpc cubic 215.99 0.0
robust_mpc cubic 611.216 0.0
robust_mpc bbr 2181.505 0.0
puffer_ttp_static bbr 1072.301 16.811
linear_bba bbr 129.597 0.0
puffer_ttp_static bbr 234.373 0.0
linear_bba bbr 640.24 0.0
robust_mpc bbr 8.2 0.0
robust_mpc bbr 6.209 0.0
robust_mpc bbr 23.493 0.0
pensieve cubic 7.941 0.0
pensieve cubic 32.15 0.0
robust_mpc bbr 45.847 0.0
puffer_ttp_static bbr 57.793 0.0
pensieve cubic 24.551 0.0
pensieve cubic 9300.758 22.0
puffer_ttp_static cubic 28.8 0.0
puffer_ttp_static bbr 82.691 0.0
puffer_ttp_static cubic 10.341 0.0
puffer_ttp_static cubic 13.021 0.0
mpc bbr 8.143 0.0
puffer_ttp_static cubic 27.589 0.0
mpc bbr 3203.788 293.666
puffer_ttp_static cubic 60.31 0.0
puffer_ttp_static bbr 9.249 0.0
puffer_ttp_static bbr 18.644 0.0
puffer_ttp_static cubic 9.06 0.45500000000000007
puffer_ttp_static cubic 107.288 0.0
pensieve bbr 40.003 0.0
puffer_ttp_static cubic 77.186 0.0
pensieve bbr 20.627 2.4649999999999994
pensieve bbr 26.789 0.0
puffer_ttp_static cubic 72.603 0.0
puffer_ttp_static cubic 5.987 0.0
puffer_ttp_static cubic 239.534 1.2650000000000001
pensieve cubic 13.307 0.0
pensieve cubic 12.54 0.0
linear_bba bbr 129.699 0.0
pensieve cubic 24.158 0.0
pensieve cubic 153.534 0.0
linear_bba cubic 39.139 0.0
linear_bba bbr 26.882 0.0
mpc bbr 5.128 0.0
robust_mpc bbr 16.942 0.0
mpc bbr 6.458 0.0
robust_mpc bbr 1268.596 0.0
linear_bba bbr 8.66 0.0
puffer_ttp_static cubic 116.302 0.0
pensieve cubic 8.276 0.0
puffer_ttp_static cubic 90.74 0.0
mpc cubic 17.19 0.0
mpc cubic 32.049 0.0
pensieve cubic 6.055 0.0
pensieve cubic 55.311 0.0
puffer_ttp_static cubic 421.807 0.0
mpc cubic 8.445 0.0
mpc cubic 301.699 0.0
pensieve cubic 35.777 0.0
pensieve cubic 750.374 0.0
robust_mpc cubic 13900.408 0.0
mpc cubic 174.349 0.0
puffer_ttp_static cubic 26.578 0.0
puffer_ttp_static cubic 6.43 0.11499999999999977
mpc bbr 26.147 0.0
puffer_ttp_static cubic 39.366 0.0
puffer_ttp_static cubic 78.452 0.0
puffer_ttp_static cubic 17.551 0.0
puffer_ttp_static bbr 24.951 0.0
puffer_ttp_static cubic 33.265 0.0
puffer_ttp_static cubic 60.095 0.0
mpc cubic 347.76 0.0
puffer_ttp_static cubic 20.561 0.07200000000000006
puffer_ttp_static cubic 6.012 0.0
puffer_ttp_static cubic 58.601 0.0
puffer_ttp_static cubic 161.323 0.0
linear_bba bbr 9.796 0.0
linear_bba bbr 11.752 0.0
linear_bba bbr 31.108 0.0
pensieve cubic 20.7 0.0
mpc bbr 697.048 0.0
pensieve cubic 11.748 0.0
pensieve cubic 85.053 0.25100000000000033
linear_bba cubic 52.6 0.0
robust_mpc bbr 51.039 0.0
puffer_ttp_static cubic 9.113 0.0
puffer_ttp_static cubic 16.689 0.0
puffer_ttp_static cubic 6.613 0.30699999999999994
puffer_ttp_static cubic 176.984 0.0
mpc cubic 165.251 0.0
pensieve cubic 23.009 0.0
pensieve cubic 651.621 0.0
robust_mpc cubic 31.357 0.0
puffer_ttp_static bbr 17.454 0.0
puffer_ttp_static cubic 238.101 2.6419999999999995
mpc bbr 61.55 0.0
puffer_ttp_static bbr 5.251 0.0
robust_mpc cubic 5.379 0.0
puffer_ttp_static bbr 8006.387 0.0
robust_mpc cubic 23.551 0.0
robust_mpc cubic 30.055 0.0
mpc bbr 151.204 0.0
linear_bba cubic 356.818 0.0
robust_mpc cubic 5.509 0.0
robust_mpc cubic 7.191 0.0
robust_mpc bbr 7.751 0.0
mpc cubic 535.054 0.0
robust_mpc cubic 8.723 0.0
robust_mpc bbr 22.252 0.0
puffer_ttp_static cubic 31.186 0.0
robust_mpc cubic 8.383 0.0
robust_mpc cubic 18.168 0.0
robust_mpc bbr 23616.546 0.0
puffer_ttp_static cubic 583.804 34.119
robust_mpc cubic 2447.272 0.0
linear_bba cubic 8.456 0.0
linear_bba cubic 6.4 0.0
linear_bba cubic 5.191 0.0
linear_bba bbr 112.288 0.0
mpc bbr 120.953 0.0
linear_bba cubic 23.909 0.0
puffer_ttp_static cubic 43.294 0.0
linear_bba cubic 7.554 0.0
linear_bba cubic 27.704 0.0
puffer_ttp_static cubic 6.733 0.0
linear_bba cubic 7.353 0.0
puffer_ttp_static cubic 7.649 0.0
puffer_ttp_static cubic 38.106 5.793
puffer_ttp_static cubic 10.001 0.0
puffer_ttp_static cubic 26.951 0.0
linear_bba bbr 18.44 0.0
puffer_ttp_static cubic 261.517 0.0
linear_bba cubic 105.396 0.0
mpc bbr 153.7 0.0
puffer_ttp_static cubic 12.053 0.0
linear_bba bbr 8.334 0.0
linear_bba bbr 13.766 0.0
linear_bba bbr 8.282 0.0
pensieve cubic 126.76 0.0
