# ABR CC CHANNEL SSIM
robust_mpc cubic pbs 0.9881742357425183
linear_bba cubic nbc 0.9825442604022917
linear_bba cubic pbs 0.988590018553459
linear_bba cubic pbs 0.9897906010781671
robust_mpc cubic pbs 0.9879603606888675
linear_bba cubic cbs 0.9822064458670847
puffer_ttp_static cubic cbs 0.9794455998578239
linear_bba bbr abc 0.9826468888816519
linear_bba cubic fox 0.9772119042797975
linear_bba cubic abc 0.9811383518588215
mpc bbr cbs 0.9793496102317832
mpc cubic cbs 0.9835904913753972
mpc bbr nbc 0.9840484832214766
linear_bba cubic cbs 0.9652477168674699
mpc cubic cbs 0.9807268661967102
linear_bba cubic abc 0.981634131619743
linear_bba cubic pbs 0.9870668155737705
puffer_ttp_static cubic nbc 0.9825053419478944
robust_mpc cubic fox 0.9814665111227086
linear_bba bbr nbc 0.9828294277515341
robust_mpc cubic abc 0.977746918296893
mpc cubic pbs 0.9879104873749127
pensieve cubic fox 0.9796074657534247
puffer_ttp_static bbr nbc 0.9833449644199155
puffer_ttp_static cubic nbc 0.982874294736842
puffer_ttp_static bbr cbs 0.9883062499999999
puffer_ttp_static bbr nbc 0.9796951111111112
puffer_ttp_static bbr abc 0.9795984705882352
puffer_ttp_static bbr fox 0.9501068333333333
puffer_ttp_static bbr univision 0.9867405999999999
puffer_ttp_static bbr pbs 0.9919361875
linear_bba cubic cbs 0.9776928
robust_mpc cubic cbs 0.9358798749999999
linear_bba cubic pbs 0.9653490909090909
robust_mpc cubic pbs 0.972965125
linear_bba cubic abc 0.9749335555555556
puffer_ttp_static cubic fox 0.9810649999999999
puffer_ttp_static cubic abc 0.9834030141930251
mpc cubic cbs 0.950833
mpc cubic nbc 0.9838814673913044
pensieve cubic cbs 0.9513502
pensieve cubic fox 0.9484097560975607
puffer_ttp_static bbr cbs 0.9855508461538461
puffer_ttp_static bbr nbc 0.9841645762711864
robust_mpc cubic cbs 0.9670320666666666
pensieve bbr cbs 0.9668469090909091
robust_mpc cubic nbc 0.980490282051282
pensieve bbr nbc 0.987809111111111
pensieve bbr abc 0.9855933333333332
pensieve bbr fox 0.9833004444444445
puffer_ttp_static bbr cbs 0.9869054999999999
puffer_ttp_static cubic cbs 0.9780544444444446
pensieve bbr univision 0.9871245
pensieve bbr pbs 0.9906271936936938
puffer_ttp_static bbr nbc 0.9763525
puffer_ttp_static bbr abc 0.9841432500000001
puffer_ttp_static cubic nbc 0.9848954677419355
puffer_ttp_static bbr fox 0.9800146923076924
puffer_ttp_static bbr cbs 0.9873132499999999
puffer_ttp_static bbr nbc 0.9795443333333335
puffer_ttp_static bbr abc 0.9846715
puffer_ttp_static bbr fox 0.9743533333333333
puffer_ttp_static bbr univision 0.9834129999999999
puffer_ttp_static bbr pbs 0.9911126181818181
robust_mpc cubic fox 0.9822108888888889
robust_mpc cubic abc 0.9857511111111111
robust_mpc cubic cbs 0.9852303333333333
robust_mpc cubic pbs 0.9827549999999999
robust_mpc cubic cbs 0.983812
robust_mpc cubic fox 0.983365590909091
puffer_ttp_static cubic abc 0.9862528487394957
linear_bba bbr pbs 0.9825558333333334
pensieve bbr fox 0.9277106153846155
pensieve bbr univision 0.9753495486725664
robust_mpc cubic pbs 0.9834420277777777
pensieve bbr pbs 0.9855725693430658
pensieve cubic cbs 0.9758731052631578
mpc bbr cbs 0.9697737777777777
mpc bbr nbc 0.9821796818181819
mpc bbr cbs 0.969161
mpc bbr nbc 0.9773205
mpc bbr abc 0.9789016666666667
mpc bbr fox 0.9842274000000002
mpc bbr univision 0.9800798571428572
mpc bbr pbs 0.99129125
robust_mpc bbr cbs 0.9724122
pensieve cubic cbs 0.9418723333333334
pensieve cubic pbs 0.9787605052910052
robust_mpc bbr cbs 0.8692485000000001
robust_mpc bbr pbs 0.9883249051987767
linear_bba cubic cbs 0.9149875555555556
puffer_ttp_static cubic cbs 0.9145725
puffer_ttp_static cubic nbc 0.9788839166666667
linear_bba cubic nbc 0.9079153333333334
linear_bba cubic abc 0.8927486666666667
puffer_ttp_static cubic abc 0.9771615714285715
puffer_ttp_static cubic fox 0.9793786000000001
linear_bba cubic fox 0.8959419999999999
linear_bba cubic univision 0.954919
puffer_ttp_static cubic univision 0.9834740000000001
puffer_ttp_static cubic pbs 0.9900466666666666
puffer_ttp_static cubic univision 0.985334
puffer_ttp_static cubic nbc 0.9761205
puffer_ttp_static cubic cbs 0.9843999999999999
linear_bba cubic pbs 0.9817605555555554
puffer_ttp_static cubic nbc 0.9798756923076921
linear_bba cubic cbs 0.9698788
puffer_ttp_static cubic cbs 0.9692047702320317
mpc bbr cbs 0.9508147272727272
puffer_ttp_static bbr cbs 0.982411611111111
mpc bbr abc 0.9662769999999999
puffer_ttp_static bbr nbc 0.9823342424242423
mpc bbr fox 0.9537332
puffer_ttp_static cubic fox 0.9748053333333333
puffer_ttp_static cubic pbs 0.980448625
puffer_ttp_static cubic fox 0.9665392500000001
puffer_ttp_static bbr cbs 0.9855154883720932
puffer_ttp_static cubic cbs 0.955931
puffer_ttp_static cubic abc 0.8817796666666666
puffer_ttp_static cubic fox 0.9585286623376622
puffer_ttp_static bbr fox 0.98304875
puffer_ttp_static bbr pbs 0.990633125
puffer_ttp_static bbr fox 0.9829293333333334
puffer_ttp_static bbr abc 0.9827494999999998
puffer_ttp_static bbr nbc 0.9827396000000002
puffer_ttp_static bbr cbs 0.9854666714285714
puffer_ttp_static cubic univision 0.938286
puffer_ttp_static cubic pbs 0.9660247500000001
puffer_ttp_static cubic abc 0.9300535000000001
puffer_ttp_static bbr univision 0.981405
puffer_ttp_static bbr fox 0.9847142000000002
puffer_ttp_static bbr nbc 0.9709699523809524
puffer_ttp_static bbr cbs 0.9853064374999999
puffer_ttp_static cubic pbs 0.9769633076923078
puffer_ttp_static cubic univision 0.9806738333333334
puffer_ttp_static cubic fox 0.9415074999999999
puffer_ttp_static cubic abc 0.9646616
puffer_ttp_static cubic nbc 0.9726022000000001
puffer_ttp_static cubic cbs 0.9628501298701299
puffer_ttp_static cubic nbc 0.9317976
puffer_ttp_static cubic abc 0.9729875
puffer_ttp_static cubic fox 0.9776166666666667
puffer_ttp_static cubic univision 0.977074
puffer_ttp_static cubic pbs 0.9841267777777778
puffer_ttp_static bbr pbs 0.9895368048780488
mpc bbr cbs 0.9566554
robust_mpc bbr cbs 0.9198534
robust_mpc bbr nbc 0.944211125
robust_mpc bbr abc 0.9760314000000001
robust_mpc bbr fox 0.9766982450331125
mpc cubic cbs 0.9837143599999999
puffer_ttp_static cubic pbs 0.9872217214611874
puffer_ttp_static cubic cbs 0.979691
puffer_ttp_static cubic pbs 0.9910963571428572
puffer_ttp_static cubic nbc 0.9799041782178216
linear_bba bbr cbs 0.9432113333333332
robust_mpc cubic cbs 0.941737
robust_mpc cubic nbc 0.904500125
robust_mpc cubic abc 0.9662140909090909
robust_mpc cubic fox 0.916521
robust_mpc cubic univision 0.90803025
robust_mpc cubic pbs 0.9796434000000002
robust_mpc cubic cbs 0.8963956666666665
linear_bba bbr cbs 0.9717705263157894
pensieve bbr cbs 0.9753010217391306
puffer_ttp_static cubic cbs 0.9849516923076922
mpc bbr cbs 0.977479671641791
linear_bba bbr cbs 0.9762934047619047
linear_bba bbr nbc 0.9775406415094339
mpc bbr nbc 0.9793460909090911
mpc bbr abc 0.984318875
mpc bbr univision 0.9848927777777777
linear_bba cubic univision 0.9627950000000001
linear_bba cubic cbs 0.8894206666666667
linear_bba cubic nbc 0.9645931538461537
robust_mpc cubic cbs 0.9703573600000002
robust_mpc cubic nbc 0.9814071999999999
robust_mpc cubic abc 0.9568816
robust_mpc cubic fox 0.9815102999999998
robust_mpc cubic univision 0.9838882222222222
robust_mpc cubic abc 0.9795067777777778
robust_mpc cubic fox 0.981939
robust_mpc cubic pbs 0.9921428064516129
robust_mpc cubic fox 0.9829152857142857
robust_mpc cubic abc 0.9837005454545454
puffer_ttp_static cubic abc 0.9810931111111112
mpc cubic abc 0.9677226000000001
mpc cubic nbc 0.9795301975308642
mpc cubic abc 0.977162
mpc cubic fox 0.97869325
mpc cubic univision 0.9947883000000001
mpc cubic pbs 0.9923257142857143
mpc cubic cbs 0.9790776857142856
mpc bbr cbs 0.9549906
mpc bbr nbc 0.8935487999999999
mpc bbr abc 0.9801052499999999
mpc bbr fox 0.9840316
mpc bbr univision 0.9595425
mpc bbr pbs 0.9853875
mpc bbr cbs 0.9767729857849197
mpc bbr cbs 0.9763458500000001
puffer_ttp_static cubic fox 0.981687
puffer_ttp_static cubic univision 0.9804693333333333
puffer_ttp_static cubic fox 0.97932175
puffer_ttp_static cubic abc 0.9681795
puffer_ttp_static cubic nbc 0.9679977999999998
puffer_ttp_static cubic cbs 0.9821617213747472
linear_bba bbr cbs 0.9835187407407409
linear_bba bbr cbs 0.9803317
linear_bba bbr nbc 0.9835473846153847
linear_bba bbr abc 0.9700874
linear_bba bbr fox 0.9565181
linear_bba bbr nbc 0.9700173076923077
linear_bba bbr pbs 0.9915030516431925
linear_bba bbr fox 0.9733974999999999
linear_bba bbr univision 0.9563093
linear_bba bbr pbs 0.9852910000000001
mpc bbr cbs 0.9679840499999999
mpc bbr nbc 0.9851913636363637
mpc bbr fox 0.9846689333333334
puffer_ttp_static cubic cbs 0.98463085
puffer_ttp_static cubic nbc 0.980575
puffer_ttp_static cubic abc 0.9789416666666666
puffer_ttp_static cubic fox 0.9839315000000001
puffer_ttp_static cubic univision 0.9825329999999999
puffer_ttp_static cubic pbs 0.9950582727272728
puffer_ttp_static cubic pbs 0.9919993750000001
puffer_ttp_static bbr pbs 0.9902530625000001
puffer_ttp_static bbr pbs 0.9889941818181818
puffer_ttp_static bbr cbs 0.9848944193548387
linear_bba cubic cbs 0.9705697826086955
linear_bba cubic nbc 0.9721111111111109
linear_bba cubic abc 0.9796783333333333
linear_bba cubic fox 0.9716060000000001
linear_bba cubic univision 0.9767097499999999
linear_bba cubic pbs 0.9803607777777779
linear_bba cubic cbs 0.9759605555555554
puffer_ttp_static cubic fox 0.973495
puffer_ttp_static cubic fox 0.9772145770270269
linear_bba cubic nbc 0.9767665789473685
puffer_ttp_static bbr cbs 0.9846248125
puffer_ttp_static bbr cbs 0.9788173333333331
puffer_ttp_static bbr nbc 0.9861393333333334
puffer_ttp_static bbr abc 0.9820635555555555
puffer_ttp_static bbr fox 0.9793256000000001
pensieve cubic pbs 0.9811299710144924
puffer_ttp_static bbr fox 0.9739097600000001
puffer_ttp_static bbr univision 0.9791262399999999
pensieve cubic cbs 0.9488786666666668
pensieve cubic nbc 0.966289
pensieve cubic abc 0.965368125
pensieve cubic fox 0.9711755000000001
pensieve cubic pbs 0.98984
pensieve cubic univision 0.9829946249999999
pensieve cubic fox 0.9806204285714285
pensieve cubic abc 0.9779059999999999
linear_bba bbr cbs 0.9681489090909092
pensieve cubic nbc 0.982719
pensieve cubic cbs 0.9868397272727272
linear_bba bbr nbc 0.9732784000000001
linear_bba bbr abc 0.9605670000000001
linear_bba bbr fox 0.9614797272727273
pensieve cubic pbs 0.9930920000000001
linear_bba bbr cbs 0.9639766249999999
linear_bba bbr nbc 0.972648
linear_bba bbr abc 0.9718948888888888
linear_bba bbr fox 0.9619562
linear_bba bbr pbs 0.9898648775510203
puffer_ttp_static bbr pbs 0.9869973076923076
puffer_ttp_static bbr nbc 0.976736
puffer_ttp_static bbr abc 0.980903
puffer_ttp_static bbr fox 0.971633
puffer_ttp_static bbr univision 0.9764764285714286
robust_mpc cubic nbc 0.96371
robust_mpc cubic nbc 0.978158375
robust_mpc cubic fox 0.9867196
robust_mpc cubic cbs 0.9798936666666667
robust_mpc cubic nbc 0.9831935
robust_mpc cubic fox 0.9793964285714285
robust_mpc cubic abc 0.9825643
linear_bba cubic cbs 0.9519475714285714
linear_bba cubic nbc 0.9744636153846155
linear_bba cubic abc 0.9430053333333334
linear_bba cubic fox 0.9741520833333333
linear_bba cubic univision 0.9630163333333334
linear_bba cubic pbs 0.9684607777777777
linear_bba cubic abc 0.9653162222222222
linear_bba cubic nbc 0.9565456666666667
linear_bba cubic cbs 0.9564401333333333
linear_bba bbr cbs 0.940207
puffer_ttp_static cubic cbs 0.864294
puffer_ttp_static cubic cbs 0.954621
puffer_ttp_static cubic cbs 0.94684
puffer_ttp_static cubic cbs 0.940415
puffer_ttp_static cubic cbs 0.9851017000000001
puffer_ttp_static cubic fox 0.9835167631578948
mpc cubic cbs 0.9765483482587065
linear_bba cubic cbs 0.9472813333333333
linear_bba cubic abc 0.9727610000000001
pensieve cubic cbs 0.9807026666666667
puffer_ttp_static cubic pbs 0.9903995
puffer_ttp_static cubic univision 0.9860413902439027
pensieve cubic nbc 0.9900615555555555
pensieve cubic abc 0.9859935555555555
pensieve cubic fox 0.9839125
pensieve cubic univision 0.9878998750000001
pensieve cubic pbs 0.9915131538461537
puffer_ttp_static cubic cbs 0.9770208493150686
puffer_ttp_static cubic cbs 0.9729850000000002
mpc bbr abc 0.926765
mpc bbr nbc 0.9777274444444445
